Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Madrid,180.000 €,2 habs.,1 baño,40 m²,Centro - Embajadores - Lavapiés,Piso,,,,2ª planta,,Sí,"F
320 kW h m² / año","E
64 kg CO₂ m² / año",,,
Madrid,575.000 €,3 habs.,1 baño,102 m²,Calle de José Ortega y Gasset - Lista,Piso,,Casi nuevo,,4ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Madrid,465.000 €,2 habs.,1 baño,92 m²,Chamartin,Piso,,,5 a 10 años,3ª planta,Sí,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Madrid,257.000 €,1 baño,48 m²,3ª Planta,Calle de Calatrava - Palacio,Estudio,,Muy bien,+ 100 años,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,550.000 €,2 habs.,2 baños,80 m²,Calle de Emilio Vargas - San Juan Bautista,Piso,,,,3ª planta,Sí,,"E
175 kW h m² / año","E
35 kg CO₂ m² / año",,,Privado
Madrid,1.190.000 €,3 habs.,3 baños,160 m²,De Rafael Calvo - Almagro,Piso,,Muy bien,,1ª planta,Sí,,"F
999 kW h m² / año","F
999 kg CO₂ m² / año",,,Privado
Madrid,187.000 €,4 habs.,2 baños,112 m²,Calle de Benita López - Los Rosales,Piso,,,,1ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Madrid,165.000 €,2 habs.,1 baño,60 m²,Calle de Gabasti - Quintana,Piso,,,,1ª planta,,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,235.000 €,1 hab.,1 baño,62 m²,Tetuan,Piso,,Bien,20 a 30 años,,Sí,Sí,"E
275 kW h m² / año","E
57 kg CO₂ m² / año",Gas Natural,Gas Natural,
Madrid,,,,,,,,,,,,,,,,,
Madrid,620.000 €,4 habs.,2 baños,158 m²,Retiro,Piso,,Bien,,2ª planta,Sí,No,Exento,Exento,,,Privado
